Poskytovateľ,Dataset,Zobrazenia,Rok
Zvolení poslanci Národnej rady Slovenskej republiky,Štatistický úrad SR,25,2022
"Zoznam zamestnancov, kontakty",Múzeum vo Svätom Antone,25,2022
Zoznam pracovných skupín (2023-01-03),Úrad jadrového dozoru Slovenskej republiky,25,2022
Zmenené poradie kandidátov po zohľadnení prednostného hlasovania za postupujúce politické subjekty,Štatistický úrad SR,25,2022
Register odborne spôsobilých osôb na epidemiologicky závažné činnosti v úpravniach vody a pri obsluhe vodovodných zariadení za rok 2018,Regionálny úrad verejného zdravotníctva Trenčín,25,2022
Zoznam kandidátov politických subjektov,Štatistický úrad SR,25,2022
Objednávky tovarov a služieb RÚVZ Nitra za rok 2020,Regionálny úrad verejného zdravotníctva Nitra,25,2022
MIRRI Dotácie-Limity Sekcia OPTP (2021-06-30),Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,25,2022
Agregácia divízií SNA/ISIC-NACE Rev.2,Štatistický úrad SR,25,2022
Divízie klasifikácie produktov podľa činností CPA 2008,Štatistický úrad SR,25,2022
Stav obyvateľstva,Štatistický úrad SR,25,2022
Podateľna,"Hydromeliorácie, štátny podnik",25,2022
"Odvetvové zatriedenie výskumnej a vývojovej činnosti, verzia 2006",Štatistický úrad SR,25,2022
PMÚSR Zoznam faktúr (2022-01-31),"Protimonopolný úrad SR, Bratislava",25,2022
"Klasifikácia produkcie - stavebné práce, verzia 2001 - 2007",Štatistický úrad SR,25,2022
007 Strategické dokumenty,Ministerstvo financií SR,24,2022
Fyzické osoby - podnikatelia v RO podľa právnych foriem,Štatistický úrad SR,24,2022
Faktúry od 1.7.2018-31.12.2018,Regionálny úrad verejného zdravotníctva Lučenec,24,2022
"Klasifikácia produkcie pre ročné štrukturálne zisťovanie, verzia 2003 - 2007",Štatistický úrad SR,24,2022
Zoznam typov formulácii,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,24,2022
"Štatistická klasifikácia zamestnaní, verzia 2012",Štatistický úrad SR,24,2022
Objednávky za rok 2017,Národný bezpečnostný úrad,24,2022
Výsledky hlasovania oprávnených občanov v referende podľa obvodov a obcí,Štatistický úrad SR,24,2022
Výročná správa za rok 2017 RÚVZ so sídlom v Starej Ľubovni,Regionálny úrad verejného zdravotníctva Stará Ľubovňa,24,2022
Objednávky tovarov a služieb,Regionálny úrad verejného zdravotníctva Nové Zámky,24,2022
Počet a podiel platných hlasov odovzdaných pre politické subjekty za kraje,Štatistický úrad SR,24,2022
Obraty na účtoch,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,24,2022
Plán VO,"Hydromeliorácie, štátny podnik",24,2022
PMÚSR Register schém minimálnej pomoci (2022-01-28),"Protimonopolný úrad SR, Bratislava",24,2022
Informácie o žiadostiach na rokovania lesnej majetkovej komisie,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,24,2022
Účet emisií do ovzdušia,Štatistický úrad SR,24,2022
PMÚSR Zoznam objednávok (2022-02-28),"Protimonopolný úrad SR, Bratislava",24,2022
Environmentálne záťaže (INSPIRE Linked Data),Ministerstvo životného prostredia SR,24,2022
Zoznam faktúr PMÚ SR (09-2021),"Protimonopolný úrad SR, Bratislava",24,2022
Súhrnné výsledky hlasovania podľa okresov a za SR,Štatistický úrad SR,24,2022
Počet prednostných hlasov pre jednotlivých kandidátov politických subjektov za obce,Štatistický úrad SR,24,2022
"Počet a podiel platných hlasov odovzdaných pre politické strany podľa okresov, krajov a SR",Štatistický úrad SR,24,2022
"Počet a podiel platných hlasov odovzdaných pre politické strany podľa obvodov, krajov a SR",Štatistický úrad SR,24,2022
PMÚSR Zoznam rozhodnutí (2022-02-28),"Protimonopolný úrad SR, Bratislava",24,2022
Návrh programovej štruktúry kapitoly pre roky....,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,24,2022
Hrubý domáci produkt na obyvateľa,Štatistický úrad SR,24,2022
Počet a podiel platných hlasov odovzdaných pre politické subjekty za okresy - horizontálny pohľad,Štatistický úrad SR,24,2022
"HC27 Obyvateľstvo podľa trvalého pobytu, pohlavia, štátnej príslušnosti, ekonomickej aktivity, predchádzajúceho pobytu v zahraničí, roku príchodu do krajiny a veku",Štatistický úrad SR,24,2022
043 Zoznam udelených individuálnych licencií na prevádzkovanie hazardných hier,Ministerstvo financií SR,24,2022
Kontrolná činnosť,"Plemenárske služby Slovenskej republiky, štátny podnik",24,2022
Podniky podľa vybraných druhov vlastníctva,Štatistický úrad SR,24,2022
Počet obyvateľov podľa pohlavia - obce (štvrťročne),Štatistický úrad SR,24,2022
Objednávky za rok 2018,Správa štátnych hmotných rezerv Slovenskej republiky,24,2022
Evidencia žiadostí MZ SR podľa § 211/2000 Zz za rok 2017,Ministerstvo zdravotníctva SR,24,2022
Indexy cien priemyselných výrobcov podľa SK NACE Rev. 2 so spotrebnou daňou - tuzemsko (báza 2015=100) - mesačné údaje,Štatistický úrad SR,24,2022
Výsledky preferenčného hlasovania podľa okrskov,Štatistický úrad SR,24,2022
Počet a podiel platných hlasov odovzdaných pre kandidátov na prezidenta Slovenskej republiky za obce,Štatistický úrad SR,24,2022
Právnické osoby za obce SR,Štatistický úrad SR,24,2022
Pridelenie mandátov politickým stranám,Štatistický úrad SR,24,2022
Sieť prevádzok sortimentných typov,Štatistický úrad SR,24,2022
Súhrnné výsledky hlasovania podľa obcí,Štatistický úrad SR,24,2022
Register odborne spôsobilých osôb - krematórium,Regionálny úrad verejného zdravotníctva Nitra,24,2022
FAKTÚRY rok 2018.xls,Regionálny úrad verejného zdravotníctva Lučenec,24,2022
"Prehľad kandidátov, ktorí sa stali náhradníkmi",Štatistický úrad SR,24,2022
Objednávky rok 2018,Regionálny úrad verejného zdravotníctva Lučenec,24,2022
Faktúry za tovary a služby 2017,Regionálny úrad verejného zdravotníctva Topoľčany,23,2022
Gymnáziá,Štatistický úrad SR,23,2022
Zoznam pohľadávok,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,23,2022
Počty volaní LTV 112 za rok 2016,Ministerstvo vnútra SR,23,2022
Výsledky preferenčného hlasovania podľa obcí,Štatistický úrad SR,23,2022
Údaje celoštátneho sčítania dopravy v roku 2015,Slovenská správa ciest,23,2022
Register odborne spôsobilých osôb na epidemiologicky závažné činnosti v zariadeniach starostlivosti o ľudské telo 2018,Regionálny úrad verejného zdravotníctva Trenčín,23,2022
Súhrnné výsledky hlasovania vo voľbe prezidenta SR podľa okresov,Štatistický úrad SR,23,2022
Počet prednostných hlasov pre jednotlivých kandidátov politických subjektov za SR,Štatistický úrad SR,23,2022
Mestská hromadná doprava,Mesto Vranov nad Topľou (OVM),23,2022
Sekcie klasifikácie produktov podľa činností CPA 2008,Štatistický úrad SR,23,2022
Súhrnné výsledky hlasovania za okrsky,Štatistický úrad SR,23,2022
Počet a podiel zvolených poslancov podľa jednotlivých politických subjektov za územné obvody,Štatistický úrad SR,23,2022
Rovnopisy neintervenčnej klinickej štúdie,"Národné centrum zdravotníckych informácií, Bratislava",23,2022
MIRRI Pracovné skupiny (2022-03-28),Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,23,2022
"Triedy odvetvovej klasifikácie ekonomických činností, verzia 1991 - 2006",Štatistický úrad SR,23,2022
Evidencia výpočtovej techniky,Štátna veterinárna a potravinová správa Bratislava,23,2022
Register odbornej spôsobilosti - potraviny a pokrmy rok 2014,Regionálny úrad verejného zdravotníctva so sídlom vo Veľkom Krtíši,23,2022
Vybrané mestá,Štatistický úrad SR,23,2022
Zoznam škôl s certifikátom vzdelávacieho programu Ekologická stopa,Slovenská agentúra životného prostredia Banská Bystrica,23,2022
Počet a podiel platných hlasov odovzdaných pre politické subjekty za obce - horizontálny pohľad,Štatistický úrad SR,23,2022
Počet a podiel platných hlasov odovzdaných pre kandidátov na prezidenta Slovenskej republiky za územné obvody,Štatistický úrad SR,23,2022
Saldokonto dodávateľov,"Plemenárske služby Slovenskej republiky, štátny podnik",23,2022
Dodávatelia,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,23,2022
Úradné hodiny ÚPV SR,Úrad priemyselného vlastníctva Slovenskej republiky,23,2022
Evidencia príkazov a smerníc riaditeľa,"Plemenárske služby Slovenskej republiky, štátny podnik",23,2022
Pracujúci podľa veku,Štatistický úrad SR,23,2022
Údaje centrálnej technickej evidencie ciest - rok 2016,Slovenská správa ciest,23,2022
Zoznam zazmluvnených žiadostí o NFP v rámci Programu cezhraničnej spolupráce SR - ČR 2007 – 2013,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,23,2022
Zoznam absolventov kontinuálneho vzdelávania v projekte MRK1,Ministerstvo spravodlivosti SR,23,2022
Poľnohospodárske stroje a zariadenia,Štatistický úrad SR,23,2022
Faktúry za tovary a služby 2020,Regionálny úrad verejného zdravotníctva Topoľčany,23,2022
Kanalizácie.,Výskumný ústav vodného hospodárstva,23,2022
"Vedné oblasti, v ktorých sa prevažne zabezpečujú výskumné a vývojové práce",Štatistický úrad SR,23,2022
Adresár lekárskych knižníc zdravotníckych organizácií,"Národné centrum zdravotníckych informácií, Bratislava",23,2022
Zoznam politických subjektov,Štatistický úrad SR,23,2022
Využitie územia (INSPIRE Linked Data),Ministerstvo životného prostredia SR,23,2022
Faktúry ÚVO,Úrad pre verejné obstarávanie,23,2022
Register odborne spôsobilých osôb pre výrobu potravín a pokrmov,Regionálny úrad verejného zdravotníctva Levice,23,2022
Výsledky volieb podľa obcí,Štatistický úrad SR,23,2022
Register odborne spôsobilých osôb - prevádzkovanie pohrebiska,Regionálny úrad verejného zdravotníctva Nitra,23,2022
Faktúry 1. polrok 2019,Regionálny úrad verejného zdravotníctva Lučenec,23,2022
PMÚSR Zahraničné cestovné náklady (2022-01-28),"Protimonopolný úrad SR, Bratislava",23,2022
Zoznam odberateľských faktúr v organizácii Štátne lesy Tatranského národného parku,Štátne lesy Tatranského národného parku Tatranská Lomnica,23,2022
Úradné hodiny,Štatistický úrad SR,23,2022
Zoznam ochraňovateľov,Správa štátnych hmotných rezerv Slovenskej republiky,23,2022
Údaje celoštátneho sčítania dopravy v roku 2010,Slovenská správa ciest,23,2022
Objednávka za tovar a služby RÚVZ Trenčín za rok 2017,Regionálny úrad verejného zdravotníctva Trenčín,23,2022
Faktúry za tovary a služby RÚVZ Veľký Krtíš,Regionálny úrad verejného zdravotníctva so sídlom vo Veľkom Krtíši,23,2022
Zoznam zahraničných cestovných nákladov (2023-01-13),Úrad jadrového dozoru Slovenskej republiky,23,2022
Počet a podiel platných hlasov odovzdaných pre politické strany podľa obcí a okresov,Štatistický úrad SR,23,2022
Súhrnné údaje k prideľovaniu mandátov,Štatistický úrad SR,23,2022
Hmz opravy,"Hydromeliorácie, štátny podnik",23,2022
Dokumentácia závlahových stavieb,"Hydromeliorácie, štátny podnik",23,2022
Počet a podiel zvolených poslancov podľa politických subjektov,Štatistický úrad SR,22,2022
Podriadené organizácie Ministerstva kultúry Slovenskej republiky,Ministerstvo kultúry SR,22,2022
"Register odborne spôsobilých osôb - potraviny a pokrmy, rok 2017",Regionálny úrad verejného zdravotníctva Považská Bystrica,22,2022
Počet prednostných hlasov pre jednotlivých kandidátov politických subjektov za okresy,Štatistický úrad SR,22,2022
"Klasifikácia produktov podľa činností pre ročné štrukturálne zisťovanie, verzia 2008",Štatistický úrad SR,22,2022
Príjmy na sociálnu ochranu podľa ESSPROS,Štatistický úrad SR,22,2022
"Register odborne spôsobilých osôb - potraviny a pokrmy, rok 2016",Regionálny úrad verejného zdravotníctva Považská Bystrica,22,2022
Počet prednostných hlasov pre kandidátov politických subjektov za SR,Štatistický úrad SR,22,2022
Zvolení poslanci do Národnej rady Slovenskej republiky,Štatistický úrad SR,22,2022
Objednávky za rok 2017,Správa štátnych hmotných rezerv Slovenskej republiky,22,2022
"Hustota obyvateľstva - SR-oblasť-kraj-okres, mestá, vidiek",Štatistický úrad SR,22,2022
Zoznam držiteľov autorizácie,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,22,2022
"Register odborne spôsobilých osôb - pohrebisko, pohrebná služba, krematórium",Regionálny úrad verejného zdravotníctva Banská Bystrica,22,2022
"Skupiny klasifikácie stavieb, verzia 2000",Štatistický úrad SR,22,2022
"Klasifikácia stavieb, verzia 2000",Štatistický úrad SR,22,2022
Kód aktivity vo voľnom čase podľa denníka,Štatistický úrad SR,22,2022
039 Zoznam využívaného otvoreného softvéru rezortu MF SR,Ministerstvo financií SR,22,2022
Objednávky tovarov a služieb 2015,Regionálny úrad verejného zdravotníctva Nitra,22,2022
Mesto Trnava - dodávateľské faktúry,Mesto Trnava,22,2022
Počet a podiel platných hlasov odovzdaných pre kandidátov na poslancov podľa volebných obvodov,Štatistický úrad SR,22,2022
"Počet a podiel platných hlasov odovzdaných pre politické strany podľa okresov, krajov a SR",Štatistický úrad SR,22,2022
Účtovný výkaz - čerpanie mimorozpočtových prostriedkov,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,22,2022
ŠVPÚ Zoznam dodávateľov,Štátny veterinárny a potravinový ústav,22,2022
Stavby s odvodňovacím kanálom,"Hydromeliorácie, štátny podnik",22,2022
Zoznam projektov programu Slovensko - švajčiarskej spolupráce v období 2007 - 2017,Úrad vlády SR,22,2022
Súhrnné výsledky hlasovania podľa krajov,Štatistický úrad SR,22,2022
Zoznam dopravných licencií,Ministerstvo dopravy a výstavby SR,22,2022
Počet a podiel platných hlasov odovzdaných pre politické strany za SR,Štatistický úrad SR,22,2022
Verejne dostupné aplikačné programové rozhrania,"Plemenárske služby Slovenskej republiky, štátny podnik",22,2022
"Narodení podľa pohlavia, hmotnosti, legitimity a vitality - SR-oblasť-kraj-okres, mestá, vidiek",Štatistický úrad SR,22,2022
Databáza bioosív,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,22,2022
Inšpekčné kontroly,Plemenárska inšpekcia SR Nitra,22,2022
PMÚSR Prijaté žiadosti podľa infozákona (2022-03-31),"Protimonopolný úrad SR, Bratislava",22,2022
Súhrnné výsledky hlasovania podľa volebných obvodov a samosprávnych krajov,Štatistický úrad SR,22,2022
Pohlavie,Štatistický úrad SR,22,2022
Prechodná klasifikácia ekonomických činností OKEČ4_SKNACE5,Štatistický úrad SR,22,2022
Počet a podiel platných hlasov odovzdaných pre jednotlivých kandidátov na prezidenta SR podľa okresov,Štatistický úrad SR,22,2022
Zoznam štátných rozpočtov,Štatistický úrad SR,22,2022
Interné doklady,"Plemenárske služby Slovenskej republiky, štátny podnik",22,2022
Sieť Stredných zdravotníckych škôl v Slovenskej republike a študijné odbory pre  školský rok 2018/2019,Ministerstvo zdravotníctva SR,22,2022
Zoznam sušiarní,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,22,2022
Počet a podiel platných hlasov odovzdaných pre kandidátov na predsedov podľa volebných obvodov,Štatistický úrad SR,22,2022
Počet a podiel platných hlasov odovzdaných pre kandidátov na predsedov podľa samosprávnych krajov,Štatistický úrad SR,22,2022
Počet a podiel platných hlasov odovzdaných pre politické subjekty za územné obvody,Štatistický úrad SR,22,2022
Počet a podiel platných hlasov odovzdaných pre jednotlivých kandidátov na prezidenta SR podľa okresov a za SR,Štatistický úrad SR,22,2022
Počet a podiel platných hlasov odovzdaných pre politické strany za SR,Štatistický úrad SR,22,2022
Počet a podiel platných hlasov odovzdaných pre politické strany podľa obcí a obvodov,Štatistický úrad SR,22,2022
Zvolení poslanci Národnej rady Slovenskej republiky,Štatistický úrad SR,22,2022
Indexy reálnych miezd podľa ekonomických činností (SK NACE Rev. 2),Štatistický úrad SR,22,2022
Indexy reálnej mesačnej mzdy vo vybraných odvetviach podľa mesiacov [pr0203ms],Štatistický úrad SR,22,2022
Životné podmienky - mestá,Štatistický úrad SR,22,2022
Počet a podiel platných hlasov odovzdaných pre politické subjekty za okrsky,Štatistický úrad SR,22,2022
MIRRI Najžiadanejšie otvorené údaje (2022-03-08),Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,22,2022
Objednávky tovarov a služieb RÚVZ Považská Bystrica za rok 2016,Regionálny úrad verejného zdravotníctva Považská Bystrica,22,2022
Súhrnné výsledky hlasovania podľa okresov a za SR,Štatistický úrad SR,22,2022
Zoznam nehnuteľného majetku štátu v správe SŠHR SR,Správa štátnych hmotných rezerv Slovenskej republiky,22,2022
Výsledky hlasovania oprávnených občanov v referende podľa okrskov,Štatistický úrad SR,22,2022
Počet a podiel zvolených poslancov podľa politických subjektov,Štatistický úrad SR,22,2022
Súhrnné výsledky hlasovania podľa okresov,Štatistický úrad SR,21,2022
Nezamestnaní podľa veku,Štatistický úrad SR,21,2022
Súhrnné výsledky hlasovania podľa okresov a za SR,Štatistický úrad SR,21,2022
Zoznam objednávok PMÚ SR (10-2021),"Protimonopolný úrad SR, Bratislava",21,2022
Ekonomický systém ministersta - Objednávky,Ministerstvo vnútra SR,21,2022
"Skupiny vedných oblastí, v ktorých sa prevažne zabezpečujú výskumné a vývojové práce",Štatistický úrad SR,21,2022
"Triedy klasifikácie produkcie, verzia 1996 - 2007",Štatistický úrad SR,21,2022
"Register odborne spôsobilých osôb - voda, bazény",Regionálny úrad verejného zdravotníctva Levice,21,2022
Dotácie na podporu rozvoja cyklodopravy,Ministerstvo dopravy a výstavby SR,21,2022
3.2.1 Miera úmrtnosti detí mladších ako 5 rokov,Štatistický úrad SR,21,2022
Recipienty,Výskumný ústav vodného hospodárstva,21,2022
Čiastkový monitorovací systém lesov,Národné lesnícke centrum,21,2022
Potenciálna vodná erózia,Národné poľnohospodárske a potravinárske centrum Lužianky,21,2022
Register odborne spôsobilých osôb - pohrebná služba,Regionálny úrad verejného zdravotníctva Nitra,21,2022
"Zoznam priemyselných výrobkov, prác a služieb, verzia 1998 - 2007",Štatistický úrad SR,21,2022
Súhrnné výsledky hlasovania vo voľbe prezidenta SR podľa okresov a za SR,Štatistický úrad SR,21,2022
Regionálna tatranská knižnica v organizácii Štátne lesy Tatranského národného parku,Štátne lesy Tatranského národného parku Tatranská Lomnica,21,2022
Protokoly neintervenčnej klinickej štúdie,"Národné centrum zdravotníckych informácií, Bratislava",21,2022
"Register odborne spôsobilých osôb na epidemiologicky závažné činnosti pri výrobe, manipulácii a uvádzaní do obehu potravín a pokrmov 2017",Regionálny úrad verejného zdravotníctva Trenčín,21,2022
Zmenené poradie kandidátov po zohľadnení prednostného hlasovania,Štatistický úrad SR,21,2022
"Podskupiny Klasifikácie zamestnaní, verzia 2001",Štatistický úrad SR,21,2022
Počet a podiel platných hlasov odovzdaných pre jednotlivých kandidátov na prezidenta SR podľa okresov,Štatistický úrad SR,21,2022
Počet a podiel platných hlasov odovzdaných pre kandidátov na prezidenta Slovenskej republiky za územné obvody,Štatistický úrad SR,21,2022
Počet a podiel platných hlasov odovzdaných pre politické subjekty za okrsky,Štatistický úrad SR,21,2022
Železničná sieť SR / INSPIRE,Ministerstvo dopravy a výstavby SR,21,2022
Počet a podiel platných hlasov odovzdaných pre politické strany podľa okresov,Štatistický úrad SR,21,2022
Počet platných hlasov pre kandidátov na starostov podľa obvodov a obcí,Štatistický úrad SR,21,2022
"Zomrelí podľa príčiny smrti, pohlavia a trvalého pobytu - SR-oblasť-kraj-okres, mestá, vidiek",Štatistický úrad SR,21,2022
Zoznam prijímateľov z fondov EÚ,Ministerstvo dopravy a výstavby SR,21,2022
Spotreba vybraných druhov potravín na 1 obyvateľa,Štatistický úrad SR,21,2022
"Skupiny odvetvovej klasifikácie ekonomických činností, verzia 1991 - 2006",Štatistický úrad SR,21,2022
Odberné miesta,Výskumný ústav vodného hospodárstva,21,2022
PMÚSR Podriadené organizácie (2022-01-28),"Protimonopolný úrad SR, Bratislava",21,2022
"Veľkostné skupiny obcí - SR-oblasť-kraj-okres, mestá, vidiek",Štatistický úrad SR,21,2022
Územné členenie,Štatistický úrad SR,21,2022
Účasť voličov vo voľbe prezidenta SR podľa okresov a za SR,Štatistický úrad SR,21,2022
Zoznam veterinárnych cerifikátov na dovoz do SR pre neharmonizované komodity,Štátna veterinárna a potravinová správa Bratislava,21,2022
"Register odborne spôsobilých osôb - potraviny a pokrmy, rok 2015",Regionálny úrad verejného zdravotníctva Považská Bystrica,21,2022
Objednávky za rok 2020,Správa štátnych hmotných rezerv Slovenskej republiky,21,2022
Súhrnné údaje k prideľovaniu mandátov,Štatistický úrad SR,21,2022
Dôvody odmietnutia hovoru LTV 112 za rok 2016,Ministerstvo vnútra SR,21,2022
Účtovný výkaz - súvaha,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,21,2022
Materské školy,Štatistický úrad SR,21,2022
"Medzinárodná klasifikácia chorôb, 10. decenálna revízia, K2 (verzia Obyv 3-12)",Štatistický úrad SR,21,2022
Kontaktné miesta Ministerstva kultúry Slovenskej republiky,Ministerstvo kultúry SR,21,2022
Saldá mesačných (štvrťročných) otázok a zložený indikátor dôvery v priemysle [kp0008ms],Štatistický úrad SR,21,2022
Počet a podiel platných hlasov odovzdaných pre kandidátov na prezidenta Slovenskej republiky za okresy,Štatistický úrad SR,21,2022
Pracoviská výskumu a vývoja,Štatistický úrad SR,21,2022
Rozpočet,Plemenárska inšpekcia SR Nitra,21,2022
MŽPSR Úradné hodiny (2021-11-12),Ministerstvo životného prostredia SR,21,2022
"Klasifikácia produktov podľa činností pre ročné štrukturálne zisťovanie - stavebná produkcia, verzia 2008",Štatistický úrad SR,21,2022
Súhrnné výsledky volieb podľa obvodov a za SR,Štatistický úrad SR,21,2022
Faktúry,Regionálny úrad verejného zdravotníctva pre územný obvod okresov Senica a Skalica,21,2022
MIRRI Dotácie-Žiadosti Sekcia OPTP (2021-06-30),Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,21,2022
Register odborne spôsobilých osôb - Huby,Regionálny úrad verejného zdravotníctva Nitra,21,2022
Priemyselná produkcia podľa hlavných priemyselných zoskupení,Štatistický úrad SR,21,2022
Existenčný stav,Štatistický úrad SR,21,2022
"Register odborne spôsobilých osôb - voda, vodovody - rok 2017",Regionálny úrad verejného zdravotníctva Považská Bystrica,21,2022
Register odbornej spôsobilosti-potraviny a pokrmy 2018,Regionálny úrad verejného zdravotníctva so sídlom vo Veľkom Krtíši,21,2022
Hustota osídlenia,Štatistický úrad SR,21,2022
"Klasifikácia zamestnaní, verzia 2001",Štatistický úrad SR,21,2022
Faktúry za tovar a služby RÚVZ Trenčín  za rok 2018,Regionálny úrad verejného zdravotníctva Trenčín,21,2022
Zoznam využívaného otvoreného softvéru - SŠHR SR,Správa štátnych hmotných rezerv Slovenskej republiky,21,2022
Typ telefónneho čísla,Štatistický úrad SR,21,2022
Pokladňa,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,21,2022
Register prepravcov zvierat,Štátna veterinárna a potravinová správa Bratislava,21,2022
Výsledky hlasovania pre politické subjekty podľa okresov,Štatistický úrad SR,21,2022
"Skupiny klasifikácie produkcie, verzia 1996 - 2007",Štatistický úrad SR,21,2022
Počet a podiel platných hlasov odovzdaných pre politické subjekty za obce,Štatistický úrad SR,21,2022
Index telesnej hmotnosti (BMI) podľa pohlavia a vybraných vekových skupín,Štatistický úrad SR,21,2022
Pohľadávky PISR,Plemenárska inšpekcia SR Nitra,21,2022
Úrad splnomocnenca vlády SR pre národnostné menšiny - dotácie 2017,Úrad vlády SR,21,2022
Faktúry za tovary a služby RÚVZ Nitra za rok 2018,Regionálny úrad verejného zdravotníctva Nitra,21,2022
Faktúry za tovary a služby 2019,Regionálny úrad verejného zdravotníctva Topoľčany,20,2022
PMÚSR Zoznam faktúr (2022-02-28),"Protimonopolný úrad SR, Bratislava",20,2022
MŽPSR Najžiadanejšie otvorené údaje OVM,Ministerstvo životného prostredia SR,20,2022
"Kategórie odvetvovej klasifikácie ekonomických činností, verzia 1991 - 2006",Štatistický úrad SR,20,2022
Súhrnné výsledky volieb za územné obvody - Počet voličov a účasť,Štatistický úrad SR,20,2022
Faktúry za tovary a služby RÚVZ Nitra za rok 2019,Regionálny úrad verejného zdravotníctva Nitra,20,2022
"Počet a podiel platných hlasov odovzdaných pre politické strany podľa okresov, krajov a SR",Štatistický úrad SR,20,2022
Prehľad vedúcich diplomatických misií SR,Ministerstvo zahraničných vecí a európskych záležitostí SR,20,2022
"Súhrnné výsledky hlasovania za mestá, mestské časti a obce",Štatistický úrad SR,20,2022
Zoznam kandidátov na prezidenta Slovenskej republiky,Štatistický úrad SR,20,2022
Skupiny klasifikácie produktov podľa činností CPA 2008,Štatistický úrad SR,20,2022
Zoznam chemických látok,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,20,2022
Faktúry za rok 2018,Správa štátnych hmotných rezerv Slovenskej republiky,20,2022
Evidencia údajov BSE,Štátna veterinárna a potravinová správa Bratislava,20,2022
Zoznam strategických dokumentov (2023-01-05),Úrad jadrového dozoru Slovenskej republiky,20,2022
Objednávky tovarov a služieb RÚVZ Považská Bystrica za rok 2017,Regionálny úrad verejného zdravotníctva Považská Bystrica,20,2022
Údaje centrálnej technickej evidencie ciest - rok 2017,Slovenská správa ciest,20,2022
Počet prednostných hlasov pre kandidátov politických subjektov za okresy,Štatistický úrad SR,20,2022
Verejné osvetlenie,Mesto Vranov nad Topľou (OVM),20,2022
Register odbornej spôsobilosti - potraviny a pokrmy od 2013,Regionálny úrad verejného zdravotníctva so sídlom vo Veľkom Krtíši,20,2022
Organizačná štruktúra,Štatistický úrad SR,20,2022
Hlavné triedy Medzinárodnej štandardnej klasifikácie zamestnaní (ISCO-08),Štatistický úrad SR,20,2022
Faktúry za tovary a služby 2016,Regionálny úrad verejného zdravotníctva Topoľčany,20,2022
Zoznam datasetov PMÚ SR (12-2021),"Protimonopolný úrad SR, Bratislava",20,2022
"Počet a podiel platných hlasov odovzdaných pre politické subjekty za mestá, mestské časti a obce - horizontálny pohľad",Štatistický úrad SR,20,2022
Krajina pôvodu návštevníka a krajina výjazdu slovenského občana,Štatistický úrad SR,20,2022
Otvorené zdrojové kódy ISVS (2022-09-17),Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,20,2022
Bilancia ekonomickej aktivity obyvateľstva,Štatistický úrad SR,20,2022
MŽPSR Dotácie - Výzvy (SEPP),Ministerstvo životného prostredia SR,20,2022
Faktúry za II polrok 2018,Regionálny úrad verejného zdravotníctva so sídlom vo Veľkom Krtíši,20,2022
MIRRI Faktúry (2022-03-15),Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,20,2022
Výsledky hlasovania oprávnených občanov v referende otázka č. 3,Štatistický úrad SR,20,2022
Súhrnné výsledky hlasovania podľa krajov,Štatistický úrad SR,20,2022
Forma poskytovanej starostlivosti zariadenia sociálnych služieb,Štatistický úrad SR,20,2022
Evidencia žiadostí o informácie (2023-01-03),Úrad jadrového dozoru Slovenskej republiky,20,2022
Prijaté žiadosti podľa infozákona,Štatistický úrad SR,20,2022
Počet a podiel platných hlasov odovzdaných pre politické strany za SR,Štatistický úrad SR,20,2022
Register odborne spôsobilých osôb - starostlivosť o ľudské telo,Regionálny úrad verejného zdravotníctva so sídlom vo Veľkom Krtíši,20,2022
PMÚSR Prijaté žiadosti podľa infozákona (2022-06-30),"Protimonopolný úrad SR, Bratislava",20,2022
Počet a podiel platných hlasov odovzdaných pre jednotlivých kandidátov na prezidenta SR podľa obvodov a za SR,Štatistický úrad SR,20,2022
Zoznam kandidátov na prezidenta Slovenskej republiky,Štatistický úrad SR,20,2022
MŽPSR Kontaktné miesta (2021-11-12),Ministerstvo životného prostredia SR,20,2022
Tvorba hrubého fixného kapitálu podľa sektorov v bežných cenách,Štatistický úrad SR,20,2022
